siteid,UNIT_NAME,Category,month,year,userdays,daysinmonth,UNIT_CODE,ForestName,MultiPart,NVUM_year,old_siteid,RSL_TYPE,notes,POI
NAT_003,Grand Canyon National Park,NPS,4,2018,416138.588032,30,GRCA,NA,NA,NA,NA,NA,NA,6
NAT_003,Grand Canyon National Park,NPS,7,2018,496920.666472,31,GRCA,NA,NA,NA,NA,NA,NA,6
NAT_003,Grand Canyon National Park,NPS,2,2018,292317.409433,28,GRCA,NA,NA,NA,NA,NA,NA,6
NAT_003,Grand Canyon National Park,NPS,8,2019,365875.518899,31,GRCA,NA,NA,NA,NA,NA,NA,6
NAT_003,Grand Canyon National Park,NPS,10,2019,411475.501427,31,GRCA,NA,NA,NA,NA,NA,NA,6
NAT_003,Grand Canyon National Park,NPS,1,2018,268961.687652,31,GRCA,NA,NA,NA,NA,NA,NA,6
NAT_003,Grand Canyon National Park,NPS,6,2018,541503.568369,30,GRCA,NA,NA,NA,NA,NA,NA,6
NAT_003,Grand Canyon National Park,NPS,1,2019,223173.986231,31,GRCA,NA,NA,NA,NA,NA,NA,6
NAT_003,Grand Canyon National Park,NPS,9,2018,420203.929341,30,GRCA,NA,NA,NA,NA,NA,NA,6
NAT_003,Grand Canyon National Park,NPS,9,2019,366144.827725,30,GRCA,NA,NA,NA,NA,NA,NA,6
NAT_003,Grand Canyon National Park,NPS,5,2018,478050.685967,31,GRCA,NA,NA,NA,NA,NA,NA,6
NAT_003,Grand Canyon National Park,NPS,3,2019,461036.480762,31,GRCA,NA,NA,NA,NA,NA,NA,6
NAT_003,Grand Canyon National Park,NPS,4,2019,482841.457514,30,GRCA,NA,NA,NA,NA,NA,NA,6
NAT_003,Grand Canyon National Park,NPS,12,2018,280906.843457,31,GRCA,NA,NA,NA,NA,NA,NA,6
NAT_003,Grand Canyon National Park,NPS,3,2018,593046.631834,31,GRCA,NA,NA,NA,NA,NA,NA,6
NAT_003,Grand Canyon National Park,NPS,11,2019,303117.525613,30,GRCA,NA,NA,NA,NA,NA,NA,6
NAT_003,Grand Canyon National Park,NPS,7,2019,524293.133841,31,GRCA,NA,NA,NA,NA,NA,NA,6
NAT_003,Grand Canyon National Park,NPS,12,2019,303100.099883,31,GRCA,NA,NA,NA,NA,NA,NA,6
NAT_003,Grand Canyon National Park,NPS,5,2019,450113.78085,31,GRCA,NA,NA,NA,NA,NA,NA,6
NAT_003,Grand Canyon National Park,NPS,11,2018,320866.236378,30,GRCA,NA,NA,NA,NA,NA,NA,6
NAT_004,World War II Memorial,NPS,3,2019,344606.999332,31,WWII,NA,NA,NA,NA,NA,NA,9
NAT_004,World War II Memorial,NPS,2,2019,153172.509165,28,WWII,NA,NA,NA,NA,NA,NA,9
NAT_004,World War II Memorial,NPS,5,2019,515816.34189,31,WWII,NA,NA,NA,NA,NA,NA,9
NAT_004,World War II Memorial,NPS,10,2019,352731.858852,31,WWII,NA,NA,NA,NA,NA,NA,9
NAT_004,World War II Memorial,NPS,9,2019,269977.229092,30,WWII,NA,NA,NA,NA,NA,NA,9
NAT_004,World War II Memorial,NPS,4,2019,556893.115829,30,WWII,NA,NA,NA,NA,NA,NA,9
NAT_004,World War II Memorial,NPS,6,2018,319356.133904,30,WWII,NA,NA,NA,NA,NA,NA,9
NAT_004,World War II Memorial,NPS,11,2019,315493.230672,30,WWII,NA,NA,NA,NA,NA,NA,9
NAT_004,World War II Memorial,NPS,11,2018,233662.992369,30,WWII,NA,NA,NA,NA,NA,NA,9
NAT_004,World War II Memorial,NPS,7,2019,468242.683729,31,WWII,NA,NA,NA,NA,NA,NA,9
NAT_004,World War II Memorial,NPS,3,2018,366875.090754,31,WWII,NA,NA,NA,NA,NA,NA,9
NAT_004,World War II Memorial,NPS,8,2019,349229.229664,31,WWII,NA,NA,NA,NA,NA,NA,9
NAT_004,World War II Memorial,NPS,1,2018,146828.960275,31,WWII,NA,NA,NA,NA,NA,NA,9
NAT_004,World War II Memorial,NPS,5,2018,313548.724523,31,WWII,NA,NA,NA,NA,NA,NA,9
NAT_004,World War II Memorial,NPS,2,2018,153440.124594,28,WWII,NA,NA,NA,NA,NA,NA,9
NAT_004,World War II Memorial,NPS,8,2018,313542.47228600003,31,WWII,NA,NA,NA,NA,NA,NA,9
NAT_004,World War II Memorial,NPS,12,2019,244254.611379,31,WWII,NA,NA,NA,NA,NA,NA,9
NAT_004,World War II Memorial,NPS,9,2018,286557.216892,30,WWII,NA,NA,NA,NA,NA,NA,9
NAT_004,World War II Memorial,NPS,12,2018,152198.992778,31,WWII,NA,NA,NA,NA,NA,NA,9
NAT_004,World War II Memorial,NPS,6,2019,469552.455715,30,WWII,NA,NA,NA,NA,NA,NA,9
NAT_004,World War II Memorial,NPS,7,2018,346319.39411,31,WWII,NA,NA,NA,NA,NA,NA,9
NAT_004,World War II Memorial,NPS,4,2018,338754.976745,30,WWII,NA,NA,NA,NA,NA,NA,9
NAT_004,World War II Memorial,NPS,10,2018,342296.63065300003,31,WWII,NA,NA,NA,NA,NA,NA,9
NAT_004,World War II Memorial,NPS,1,2019,122749.558788,31,WWII,NA,NA,NA,NA,NA,NA,9
NAT_005,Rocky Mountain National Park,NPS,3,2018,157693.913756,31,ROMO,NA,NA,NA,NA,NA,NA,10
NAT_005,Rocky Mountain National Park,NPS,1,2018,82771.458039,31,ROMO,NA,NA,NA,NA,NA,NA,10
NAT_005,Rocky Mountain National Park,NPS,10,2019,249572.894553,31,ROMO,NA,NA,NA,NA,NA,NA,10
NAT_005,Rocky Mountain National Park,NPS,9,2019,410054.270446,30,ROMO,NA,NA,NA,NA,NA,NA,10
NAT_005,Rocky Mountain National Park,NPS,7,2019,621080.695656,31,ROMO,NA,NA,NA,NA,NA,NA,10
NAT_005,Rocky Mountain National Park,NPS,7,2018,549843.840829,31,ROMO,NA,NA,NA,NA,NA,NA,10
NAT_005,Rocky Mountain National Park,NPS,11,2019,112125.923141,30,ROMO,NA,NA,NA,NA,NA,NA,10
NAT_005,Rocky Mountain National Park,NPS,2,2018,79493.121924,28,ROMO,NA,NA,NA,NA,NA,NA,10
NAT_005,Rocky Mountain National Park,NPS,4,2019,138342.312922,30,ROMO,NA,NA,NA,NA,NA,NA,10
NAT_005,Rocky Mountain National Park,NPS,5,2019,209039.430569,31,ROMO,NA,NA,NA,NA,NA,NA,10
NAT_005,Rocky Mountain National Park,NPS,6,2019,410151.331728,30,ROMO,NA,NA,NA,NA,NA,NA,10
NAT_005,Rocky Mountain National Park,NPS,12,2019,104573.001627,31,ROMO,NA,NA,NA,NA,NA,NA,10
