Name,Pop,siteid,UNIT_NAME
Medicine Bow National Forest,2308.3745785056167,NAT_045,Medicine Bow National Forest
Lewis and Clark National Forest,495.2275753314979,NAT_044,Lewis and Clark National Forest
Humboldt-Toiyabe National Forest - Outside Spring Mountains NRA,228185.52963766968,NAT_043,Humboldt-Toiyabe National Forest - Outside Spring Mountains NRA
Humboldt-Toiyabe National Forest -  Spring Mountains NRA,665.8776694005511,NAT_042,Humboldt-Toiyabe National Forest -  Spring Mountains NRA
Helena National Forest,1395.5613168443463,NAT_041,Helena National Forest
Gallatin National Forest,6678.775053278305,NAT_040,Gallatin National Forest
Custer National Forest,414.95703947934356,NAT_039,Custer National Forest
Chugach National Forest,5050.692745,NAT_135,Chugach National Forest
"Tongass National Forest-Yakutat, Petersburg, and Wrangell",1126.0622322824897,NAT_050,"Tongass National Forest-Yakutat, Petersburg, and Wrangell"
Tongass National Forest-Sitka and Hoonah,1126.4903558623105,NAT_049,Tongass National Forest-Sitka and Hoonah
"Tongass National Forest-Ketchikan Misty, Craig, and Thorne Bay",2187.536053,NAT_048,"Tongass National Forest-Ketchikan Misty, Craig, and Thorne Bay"
Tongass National Forest-Juneau and Admiralty National Monument,1675.915233412612,NAT_047,Tongass National Forest-Juneau and Admiralty National Monument
