siteid,UNIT_NAME,RPA_subreg
NAT_122,Chequamegon-Nicolet National Forest,North Central
NAT_123,Wayne National Forest,Northeast
NAT_124,Hoosier National Forest,North Central
NAT_125,Huron-Manistee National Forest,North Central
NAT_126,Superior National Forest,North Central
NAT_127,Shawnee National Forest,North Central
NAT_128,Chippewa National Forest,North Central
NAT_129,Monongahela National Forest,Northeast
NAT_130,Ottawa National Forest,North Central
NAT_131,National Forests in Florida,Southeast
NAT_132,Chattahoochee-Oconee National Forests,Southeast
NAT_133,National Forests in Alabama,South Central
NAT_134,Midewin National Tallgrass Prairie,North Central
NAT_135,Chugach National Forest,Pacific Northwest
NAT_013,San Francisco Maritime National Historical Park,Pacific Southwest
NAT_048,"Tongass National Forest-Ketchikan Misty, Craig, and Thorne Bay",Pacific Northwest
NAT_036,Canaveral National Seashore,Southeast
NAT_139,Pinckney Island National Wildlife Refuge,Southeast
NAT_027,Cape Hatteras National Seashore,Southeast
NAT_030,Assateague Island National Seashore,Northeast
NAT_038,Sleeping Bear Dunes National Lakeshore,North Central
